Total Nacional;Comunidades y Ciudades Autónomas;Sexo;Edad (grupos quinquenales);Tipo de dato;Periodo;Total
Total Nacional;;Total;Todas las edades;Dato base;2019SM47;8.258
Total Nacional;;Total;Todas las edades;Dato base;2019SM46;8.077
Total Nacional;;Total;Todas las edades;Dato base;2019SM45;7.733
Total Nacional;;Total;Todas las edades;Dato base;2019SM44;7.752
Total Nacional;;Total;Todas las edades;Dato base;2019SM43;7.585
Total Nacional;;Total;Todas las edades;Dato base;2019SM42;7.373
Total Nacional;;Total;Todas las edades;Dato base;2019SM41;7.376
Total Nacional;;Total;Todas las edades;Dato base;2019SM40;7.033
Total Nacional;;Total;Todas las edades;Dato base;2019SM39;7.089
Total Nacional;;Total;Todas las edades;Dato base;2019SM38;7.058
Total Nacional;;Total;Todas las edades;Dato base;2019SM37;6.986
Total Nacional;;Total;Todas las edades;Dato base;2019SM36;6.948
Total Nacional;;Total;Todas las edades;Dato base;2019SM35;6.939
Total Nacional;;Total;Todas las edades;Dato base;2019SM34;6.972
Total Nacional;;Total;Todas las edades;Dato base;2019SM33;7.177
Total Nacional;;Total;Todas las edades;Dato base;2019SM32;7.366
Total Nacional;;Total;Todas las edades;Dato base;2019SM31;7.177
Total Nacional;;Total;Todas las edades;Dato base;2019SM30;7.505
Total Nacional;;Total;Todas las edades;Dato base;2019SM29;7.357
Total Nacional;;Total;Todas las edades;Dato base;2019SM28;7.497
Total Nacional;;Total;Todas las edades;Dato base;2019SM27;8.103
Total Nacional;;Total;Todas las edades;Dato base;2019SM26;7.616
Total Nacional;;Total;Todas las edades;Dato base;2019SM25;7.459
Total Nacional;;Total;Todas las edades;Dato base;2019SM24;7.066
Total Nacional;;Total;Todas las edades;Dato base;2019SM23;7.558
Total Nacional;;Total;Todas las edades;Dato base;2019SM22;7.676
Total Nacional;;Total;Todas las edades;Dato base;2019SM21;7.499
Total Nacional;;Total;Todas las edades;Dato base;2019SM20;7.587
Total Nacional;;Total;Todas las edades;Dato base;2019SM19;7.783
Total Nacional;;Total;Todas las edades;Dato base;2019SM18;7.802
Total Nacional;;Total;Todas las edades;Dato base;2019SM17;7.804
Total Nacional;;Total;Todas las edades;Dato base;2019SM16;7.857
Total Nacional;;Total;Todas las edades;Dato base;2019SM15;8.099
Total Nacional;;Total;Todas las edades;Dato base;2019SM14;8.134
Total Nacional;;Total;Todas las edades;Dato base;2019SM13;8.216
Total Nacional;;Total;Todas las edades;Dato base;2019SM12;8.082
Total Nacional;;Total;Todas las edades;Dato base;2019SM11;8.246
Total Nacional;;Total;Todas las edades;Dato base;2019SM10;8.640
Total Nacional;;Total;Todas las edades;Dato base;2019SM09;8.972
Total Nacional;;Total;Todas las edades;Dato base;2019SM08;9.269
Total Nacional;;Total;Todas las edades;Dato base;2019SM07;9.413
Total Nacional;;Total;Todas las edades;Dato base;2019SM06;9.732
Total Nacional;;Total;Todas las edades;Dato base;2019SM05;10.023
Total Nacional;;Total;Todas las edades;Dato base;2019SM04;10.199
Total Nacional;;Total;Todas las edades;Dato base;2019SM03;10.527
Total Nacional;;Total;Todas las edades;Dato base;2019SM02;10.078
Total Nacional;;Total;Todas las edades;Dato base;2019SM01;9.180
Total Nacional;;Total;Todas las edades;Dato base;2018SM52;8.689
Total Nacional;;Total;Todas las edades;Dato base;2018SM51;8.468
Total Nacional;;Total;Todas las edades;Dato base;2018SM50;8.359
Total Nacional;;Total;Todas las edades;Dato base;2018SM49;8.092
Total Nacional;;Total;Todas las edades;Dato base;2018SM48;7.979
Total Nacional;;Total;Todas las edades;Dato base;2018SM47;7.971
Total Nacional;;Total;Todas las edades;Dato base;2018SM46;8.044
Total Nacional;;Total;Todas las edades;Dato base;2018SM45;8.078
Total Nacional;;Total;Todas las edades;Dato base;2018SM44;7.844
Total Nacional;;Total;Todas las edades;Dato base;2018SM43;7.386
Total Nacional;;Total;Todas las edades;Dato base;2018SM42;7.403
