Total Nacional;Comunidades y Ciudades Autónomas;Tipo de dato;Periodo;Total
Total Nacional;;Dato base;2016SM07;8.519
Total Nacional;;Dato base;2016SM06;8.589
Total Nacional;;Dato base;2016SM05;8.506
Total Nacional;;Dato base;2016SM04;8.522
Total Nacional;;Dato base;2016SM03;8.829
Total Nacional;;Dato base;2016SM02;8.718
Total Nacional;;Dato base;2016SM01;8.699
Total Nacional;;Dato base;2015SM53;8.469
Total Nacional;;Dato base;2015SM52;8.072
Total Nacional;;Dato base;2015SM51;8.373
Total Nacional;;Dato base;2015SM50;8.066
Total Nacional;;Dato base;2015SM49;8.112
Total Nacional;;Dato base;2015SM48;7.891
Total Nacional;;Dato base;2015SM47;7.434
Total Nacional;;Dato base;2015SM46;7.356
Total Nacional;;Dato base;2015SM45;7.447
Total Nacional;;Dato base;2015SM44;7.430
Total Nacional;;Dato base;2015SM43;7.310
Total Nacional;;Dato base;2015SM42;7.160
Total Nacional;;Dato base;2015SM41;7.108
Total Nacional;;Dato base;2015SM40;6.853
Total Nacional;;Dato base;2015SM39;6.949
Total Nacional;;Dato base;2015SM38;6.666
Total Nacional;;Dato base;2015SM37;6.709
Total Nacional;;Dato base;2015SM36;6.650
Total Nacional;;Dato base;2015SM35;6.983
Total Nacional;;Dato base;2015SM34;6.836
Total Nacional;;Dato base;2015SM33;7.116
Total Nacional;;Dato base;2015SM32;7.255
Total Nacional;;Dato base;2015SM31;7.391
Total Nacional;;Dato base;2015SM30;7.826
Total Nacional;;Dato base;2015SM29;8.204
Total Nacional;;Dato base;2015SM28;8.397
Total Nacional;;Dato base;2015SM27;8.180
Total Nacional;;Dato base;2015SM26;7.153
Total Nacional;;Dato base;2015SM25;7.004
Total Nacional;;Dato base;2015SM24;7.212
Total Nacional;;Dato base;2015SM23;7.410
Total Nacional;;Dato base;2015SM22;7.146
Total Nacional;;Dato base;2015SM21;7.282
Total Nacional;;Dato base;2015SM20;7.592
Total Nacional;;Dato base;2015SM19;7.510
Total Nacional;;Dato base;2015SM18;7.407
Total Nacional;;Dato base;2015SM17;7.833
Total Nacional;;Dato base;2015SM16;7.900
Total Nacional;;Dato base;2015SM15;7.926
Total Nacional;;Dato base;2015SM14;8.317
Total Nacional;;Dato base;2015SM13;8.401
Total Nacional;;Dato base;2015SM12;8.412
Total Nacional;;Dato base;2015SM11;8.834
Total Nacional;;Dato base;2015SM10;9.463
Total Nacional;;Dato base;2015SM09;10.114
Total Nacional;;Dato base;2015SM08;10.616
Total Nacional;;Dato base;2015SM07;10.892
Total Nacional;;Dato base;2015SM06;10.722
Total Nacional;;Dato base;2015SM05;11.090
Total Nacional;;Dato base;2015SM04;10.665
Total Nacional;;Dato base;2015SM03;10.783
Total Nacional;;Dato base;2015SM02;10.465
Total Nacional;;Dato base;2015SM01;9.652
Total Nacional;;Dato base;2014SM52;8.578
Total Nacional;;Dato base;2014SM51;8.275
Total Nacional;;Dato base;2014SM50;8.026
Total Nacional;;Dato base;2014SM49;7.679
Total Nacional;;Dato base;2014SM48;7.756
Total Nacional;;Dato base;2014SM47;7.666
Total Nacional;;Dato base;2014SM46;7.641
Total Nacional;;Dato base;2014SM45;7.365
